Apartment_float_o15C,,,,,,,,,
2048*1536,,Red,Green,Blue,,,,,
resolution,value,count,count,count,,,,,
3145728,0,12898,8948,11442,,,,,
3145728,1,4325,912,994,,,,,
3145728,2,947,610,770,,,,,
3145728,3,1248,864,1051,,,,,
3145728,4,2015,1294,1529,,,,,
3145728,5,2444,1961,2010,,,,,
3145728,6,3379,2589,2478,,,,,
3145728,7,4549,3321,3120,,,,,
3145728,8,5858,4046,3955,,,,,
3145728,9,7758,4843,4625,,,,,
3145728,10,10948,5987,5777,,,,,
3145728,11,14105,7265,6813,,,,,
3145728,12,17607,8830,8081,,,,,
3145728,13,21721,11908,10155,,,,,
3145728,14,24685,15365,11871,,,,,
3145728,15,28147,19688,14156,,,,,
3145728,16,28422,22758,16202,,,,,
3145728,17,30098,27122,18771,,,,,
3145728,18,28179,27772,18577,,,,,
3145728,19,25238,27976,20977,,,,,
3145728,20,22560,25136,22379,,,,,
3145728,21,22436,25335,25836,,,,,
3145728,22,21023,25644,28052,,,,,
3145728,23,18093,26009,29753,,,,,
3145728,24,14296,21157,25401,,,,,
3145728,25,12940,19042,24292,,,,,
3145728,26,12251,17681,24210,,,,,
3145728,27,12437,16774,22738,,,,,
3145728,28,11469,14813,18045,,,,,
3145728,29,11637,13448,14753,,,,,
3145728,30,11457,13412,15005,,,,,
3145728,31,11260,12843,15304,,,,,
3145728,32,10556,12533,14807,,,,,
3145728,33,9596,11623,13273,,,,,
3145728,34,9298,10915,12779,,,,,
3145728,35,9043,10944,12643,,,,,
3145728,36,8122,9568,11576,,,,,
3145728,37,8543,8951,11312,,,,,
3145728,38,7896,7699,9918,,,,,
3145728,39,6995,7261,8923,,,,,
3145728,40,6658,7142,8568,,,,,
3145728,41,7225,7124,8620,,,,,
3145728,42,7870,8120,9594,,,,,
3145728,43,6687,8292,8242,,,,,
3145728,44,7168,8920,8518,,,,,
3145728,45,6287,6964,7370,,,,,
3145728,46,7849,8007,8431,,,,,
3145728,47,9490,8796,9925,,,,,
3145728,48,8377,7722,8897,,,,,
3145728,49,8320,7475,9536,,,,,
3145728,50,9824,8082,12483,,,,,
3145728,51,10483,7996,13857,,,,,
3145728,52,12002,8655,12863,,,,,
3145728,53,13104,11600,12483,,,,,
3145728,54,11361,11560,10024,,,,,
3145728,55,12459,11991,11316,,,,,
3145728,56,11612,10989,10765,,,,,
3145728,57,13325,12074,13104,,,,,
3145728,58,13330,10853,14109,,,,,
3145728,59,11778,10487,12502,,,,,
3145728,60,15278,12023,16034,,,,,
3145728,61,15956,13069,16154,,,,,
3145728,62,20095,17093,18523,,,,,
3145728,63,17319,15775,15696,,,,,
3145728,64,17847,17008,16524,,,,,
3145728,65,21418,20465,20996,,,,,
3145728,66,20556,20419,21442,,,,,
3145728,67,16370,17007,16464,,,,,
3145728,68,17876,19854,16514,,,,,
3145728,69,16323,19307,14285,,,,,
