ClockBuilding,,,,,,,,,
1536*2048,,Red,Green,Blue,,,,,
resolution,value,count,count,count,,,,,
3145728,0,0,0,0,,,,,
3145728,1,1155,0,0,,,,,
3145728,2,0,0,2,,,,,
3145728,3,0,1344,1930,,,,,
3145728,4,2,10,2048,,,,,
3145728,5,0,1585,1584,,,,,
3145728,6,1,1726,3601,,,,,
3145728,7,0,1528,1094,,,,,
3145728,8,5,1749,4732,,,,,
3145728,9,1,3220,1353,,,,,
3145728,10,3,9058,2517,,,,,
3145728,11,2,12088,4096,,,,,
3145728,12,1,431,2181,,,,,
3145728,13,1,488,2537,,,,,
3145728,14,2,337,2221,,,,,
3145728,15,1,218,6554,,,,,
3145728,16,2,204,2237,,,,,
3145728,17,13048,432,925,,,,,
3145728,18,3022,515,7274,,,,,
3145728,19,2181,101,4408,,,,,
3145728,20,958,298,4869,,,,,
3145728,21,665,218,1123,,,,,
3145728,22,337,221,5161,,,,,
3145728,23,95,508,37259,,,,,
3145728,24,49,278,2471,,,,,
3145728,25,54,117201,96401,,,,,
3145728,26,20,1710,2647,,,,,
3145728,27,13,321,1100,,,,,
3145728,28,26282,145,1234,,,,,
3145728,29,8970,138,1907,,,,,
3145728,30,7953,194,2633,,,,,
3145728,31,1771,5613,5032,,,,,
3145728,32,178,396,45648,,,,,
3145728,33,162,33951,3474,,,,,
3145728,34,72,4009,1410,,,,,
3145728,35,126,740,1687,,,,,
3145728,36,93,562,1673,,,,,
3145728,37,21352,90,970,,,,,
3145728,38,293,338,7064,,,,,
3145728,39,341,1328,50246,,,,,
3145728,40,391,45967,5349,,,,,
3145728,41,413,498,1332,,,,,
3145728,42,288,242,2865,,,,,
3145728,43,3768,571,2264,,,,,
3145728,44,456,3765,10737,,,,,
3145728,45,269,50142,35842,,,,,
3145728,46,277,1279,19699,,,,,
3145728,47,13496,876,2486,,,,,
3145728,48,4247,587,2147,,,,,
3145728,49,678,57434,13186,,,,,
3145728,50,522,1639,51895,,,,,
3145728,51,19206,243,2366,,,,,
3145728,52,1442,9074,3639,,,,,
3145728,53,809,52310,10582,,,,,
3145728,54,438,911,54692,,,,,
3145728,55,28493,1018,3778,,,,,
3145728,56,1946,57846,9617,,,,,
3145728,57,1677,4178,18751,,,,,
3145728,58,1581,528,40887,,,,,
3145728,59,35469,39275,5587,,,,,
3145728,60,2739,23124,35576,,,,,
3145728,61,2945,1370,28417,,,,,
3145728,62,39096,56780,6022,,,,,
3145728,63,6630,4192,15778,,,,,
3145728,64,4382,1403,46988,,,,,
3145728,65,35262,56113,6784,,,,,
3145728,66,16949,2643,37297,,,,,
3145728,67,5443,45158,22806,,,,,
3145728,68,46364,11759,23725,,,,,
3145728,69,9775,20312,30186,,,,,
3145728,70,18894,32118,16167,,,,,
3145728,71,38061,4683,36794,,,,,
3145728,72,9693,46137,19728,,,,,
3145728,73,44789,3740,34582,,,,,
3145728,74,10098,43500,19158,,,,,
3145728,75,44731,5790,22552,,,,,
3145728,76,13373,39432,29612,,,,,
3145728,77,38586,14897,24253,,,,,
3145728,78,21666,31418,31798,,,,,
3145728,79,31673,33609,18800,,,,,
3145728,80,26797,11107,31156,,,,,
3145728,81,22873,35624,24401,,,,,
3145728,82,38770,13372,34426,,,,,
3145728,83,36332,34714,30732,,,,,
3145728,84,28045,30594,30020,,,,,
3145728,85,24888,17558,29664,,,,,
3145728,86,32763,32539,29848,,,,,
3145728,87,25173,27998,26861,,,,,
3145728,88,29706,22325,30787,,,,,
3145728,89,31764,28285,31275,,,,,
3145728,90,23610,34271,33789,,,,,
3145728,91,35743,27207,29528,,,,,
3145728,92,22523,22036,29968,,,,,
3145728,93,35923,32031,32706,,,,,
3145728,94,23467,25719,27390,,,,,
3145728,95,37343,31451,32162,,,,,
3145728,96,32068,30643,32793,,,,,
3145728,97,26407,23169,26247,,,,,
3145728,98,32142,29553,30963,,,,,
3145728,99,30245,27728,25358,,,,,
3145728,100,33347,28725,28620,,,,,
3145728,101,31002,27892,27665,,,,,
3145728,102,30252,30327,30069,,,,,
3145728,103,30733,27593,25618,,,,,
3145728,104,29153,26109,24969,,,,,
3145728,105,35686,29213,27086,,,,,
